IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02300849000C,CLARK,-87.645771,39.432354,583,Oil and Gas Test,Electric Log,,,-37,,-69,3,,,,,,
02300850000C,CLARK,-87.653183,39.410353,526,Oil and Gas Test,Electric Log,,,-46,,,,,,,,,
02300851000C,CLARK,-87.599872,39.408661,563,Oil and Gas Test,Electric Log,,,-70,,-99,,,,,,,
02300852000C,CLARK,-87.602119,39.390646,550,Oil and Gas Test,Electric Log,,,-28,,,,,,,,,
02300853000C,CLARK,-87.622983,39.397407,510,Oil and Gas Test,Electric Log,,,-36,,,,,,,,,
02300854000C,CLARK,-87.613764,39.383261,503,Oil and Gas Test,Electric Log,,,-90,,,,,,,,,
02300855000C,CLARK,-87.576378,39.366528,538,Oil and Gas Test,Electric Log,,,-47,,-78,2,,,,,,
02300856000C,CLARK,-87.632273,39.37422,557,Oil and Gas Test,Electric Log,,,-91,,-114,2,,,,,,
02300857000C,CLARK,-87.648455,39.367182,563,Oil and Gas Test,Electric Log,,,-87,,-119,2.5,,,,,,
02300858000C,CLARK,-87.59027,39.354913,500,Oil and Gas Test,Electric Log,,,-104,4,-130,7,,,,,,
02300859000C,CLARK,-87.7354,39.400251,566,Oil and Gas Test,Electric Log,,,-186,,,,,,,,,
02300860000C,CLARK,-87.750052,39.398212,614,Oil and Gas Test,Electric Log,,,-189,,-211,3,,,,,,
02300861000C,CLARK,-87.743621,39.376379,597,Oil and Gas Test,Electric Log,,,-179,,-202,3.5,,,,,,
02300862000C,CLARK,-87.925301,39.355549,633,Oil and Gas Test,Electric Log,,,,,233,1,,,,,,
02300863000C,CLARK,-87.548505,39.448804,516,Oil and Gas Test,Electric Log,,,62,,28,4.5,,,,,,
02300864000C,CLARK,-87.555709,39.459667,580,Oil and Gas Test,Electric Log,,,86,,53,3.5,,,,,,
02300866000C,CLARK,-87.618514,39.454027,580,Oil and Gas Test,Electric Log,,,-5,,-27,2.5,,,,,,
02300867000C,CLARK,-87.655921,39.436021,571,Oil and Gas Test,Electric Log,,,-57,,,,,,,,,
02300868000C,CLARK,-87.785682,39.457834,656,Oil and Gas Test,Electric Log,,,-24,,,,,,,,,
02300869000C,CLARK,-87.809177,39.242391,596,Oil and Gas Test,Electric Log,-10,3,-212,,-246,2.5,,,,,,
02300872000C,CLARK,-87.907299,39.225889,587,Oil and Gas Test,Electric Log,374,2,220,,187,,,,,,,
02300873000C,CLARK,-87.97684,39.193669,592,Oil and Gas Test,Electric Log,173,2,-7,,-36,4,,,,,,
02300878000C,CLARK,-87.532625,39.441562,502,Oil and Gas Test,Nuclear Log,,,117,,75,4,,,,,,
02300879000C,CLARK,-87.56004,39.376375,547,Oil and Gas Test,Nuclear Log,,,55,,,,,,,,,
02300881000C,CLARK,-87.545206,39.476823,578.3,Coal Test,Drillers Log,,,,,58.3,6,,,,,,
02300882000C,CLARK,-87.944453,39.330615,630,Oil and Gas Test,Electric Log,,,280,,254,2.5,,,,,,
02300885000C,CLARK,-87.921069,39.302485,611,Oil and Gas Test,Electric Log,,,267,,238,3,,,,,,
02300914000C,CLARK,-87.943593,39.226127,582,Oil and Gas Test,Electric Log,388,1.5,234,,210,4.5,,,,,,
02300920000C,CLARK,-87.983681,39.182571,583,Oil and Gas Test,Electric Log,,,-1,,-37,2.5,,,,,,
02300930000C,CLARK,-87.76819,39.20363,542,Oil and Gas Test,Electric Log,13,4,-208,,-258,5.5,,,,,,
02301001000C,CLARK,-87.889175,39.312329,555,Oil and Gas Test,Electric Log,,,230,,186,,,,,,,
02301013000C,CLARK,-87.817722,39.209454,588,Oil and Gas Test,Electric Log,-2,2,,,,,,,,,,
02301014000C,CLARK,-87.845433,39.196238,584,Oil and Gas Test,Electric Log,-15,3,-226,,-258,6,,,,,,
02301015000C,CLARK,-87.845168,39.187098,582,Oil and Gas Test,Electric Log,-11,3,-218,,-259,6,,,,,,
02301066000C,CLARK,-87.957076,39.42954,642,Oil and Gas Test,Electric Log,,,372,,349,,,,,,,
02301103000C,CLARK,-87.650999,39.26743,521,Oil and Gas Test,Electric Log,94,3,-106,,,,,,,,,
02301106000C,CLARK,-87.660359,39.272868,521,Oil and Gas Test,Electric Log,87,4,,,,,,,,,,
02301152000C,CLARK,-87.564222,39.370492,542,Oil and Gas Test,Electric Log,,,6,,,,,,,,,
02301158000C,CLARK,-87.534124,39.404429,480,Oil and Gas Test,Electric Log,,,34,,,,,,,,,
02301182000C,CLARK,-87.987411,39.394636,662,Oil and Gas Test,Electric Log,,,457,,,,,,,,,
02301211000C,CLARK,-87.620589,39.325552,468,Oil and Gas Test,Electric Log,,,-136,,,,,,,,,
02301218000C,CLARK,-87.932775,39.291406,611,Oil and Gas Test,Electric Log,,,229,,198,2.5,,,,,,
02301223000C,CLARK,-87.97505,39.417523,650,Oil and Gas Test,Electric Log,,,411,,384,4,,,,,,
02301224000C,CLARK,-87.815029,39.432807,647,Oil and Gas Test,Electric Log,,,-80,,-99,,,,,,,
02301248000C,CLARK,-87.78223,39.27939,603,Oil and Gas Test,Electric Log,33,3,-133,,,,,,,,,
02301259000C,CLARK,-87.767835,39.397599,627,Oil and Gas Test,Electric Log,,,-145,,-166,4.5,,,,,,
02301263000C,CLARK,-87.651,39.278237,526,Oil and Gas Test,Electric Log,,,-111,,-171,4.5,,,,,,
02301267000C,CLARK,-87.951573,39.443412,645,Oil and Gas Test,Electric Log,,,344,,320,,,,,,,
02301274000C,CLARK,-87.761785,39.430924,636,Oil and Gas Test,Electric Log,,,-94,,,,,,,,,
02301289000C,CLARK,-87.758151,39.472538,576,Oil and Gas Test,Electric Log,,,-107,,,,,,,,,
02301293000C,CLARK,-87.777228,39.399256,632,Oil and Gas Test,Electric Log,,,-133,,-158,3,,,,,,
02301294000C,CLARK,-87.985454,39.407228,671,Oil and Gas Test,Electric Log,,,450,,,,,,,,,
02301295000C,CLARK,-87.990216,39.408893,668,Oil and Gas Test,Nuclear Log,,,473,,,,,,,,,
02301313000C,CLARK,-87.846785,39.235982,580,Oil and Gas Test,Electric Log,40,,-170,,-218,3,,,,,,
02301327000C,CLARK,-88.007161,39.421443,657,Oil and Gas Test,Electric Log,,,427,,,,,,,,,
02301328000C,CLARK,-87.732198,39.260303,580,Oil and Gas Test,Electric Log,3,3,,,,,,,,,,
02301363000C,CLARK,-87.97131,39.438487,644,Oil and Gas Test,Electric Log,,,355,,332,,,,,,,
