IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02323855000C,CLARK,-87.592583,39.362108,503,Oil and Gas Test,Electric Log,,,,,71,2.5,,,-137,2.5
02323878000C,CLARK,-87.888821,39.29527,601,Oil and Gas Test,Electric Log,422,,377,2,349,3.5,266,,,
02323920000C,CLARK,-87.692417,39.276515,545,Coal Test,Nuclear Log,94,4,31,2,-11,4,,,,
02323921000C,CLARK,-87.824761,39.289541,605.3,Coal Test,Drillers Log,40.6,4.38,-14.6,2.77,-49,4.1,,,,
02323932000C,CLARK,-87.783598,39.384451,555,Coal Test,Drillers Log,93.9,4.05,-17.4,3.45,-39.7,5.9,,,,
02324000000C,CLARK,-87.609161,39.262197,,Coal Test,Drillers Log,,3.8,,1.4,,3.85,,,,
02324025000C,CLARK,-87.939853,39.209051,524,Dry Hole,Electric Log,371,3,328,3,294,4,,,,
02324110000C,CLARK,-87.547757,39.43171,516,Coal Test,Drillers Log,356.5,5.2,234.2,2.6,217,5.9,,,14.7,4
02324111000C,CLARK,-87.548537,39.431319,515,Coal Test,Drillers Log,353.8,5.9,,,212.7,4.4,,,,
02324112000C,CLARK,-87.565318,39.42649,560,Coal Test,Drillers Log,338,3.7,214,1.7,193.8,4,,,,
02324113000C,CLARK,-87.549168,39.411357,550,Coal Test,Drillers Log,,,207.8,1.8,189.8,4.3,,,-2,5.4
02324114000C,CLARK,-87.545571,39.397174,553,Coal Test,Drillers Log,346,3.5,,,220.4,2.9,,,,
02324117000C,CLARK,-87.565952,39.395337,540,Coal Test,Drillers Log,282.8,3.4,166,1.1,148.2,3.4,,,,
02324119000C,CLARK,-87.632078,39.408431,575,Coal Test,Drillers Log,230.3,3.3,96.5,3.8,,,,,,
02324120000C,CLARK,-87.611948,39.415179,571,Coal Test,Drillers Log,225.5,4.5,99,2,78,4,,,,
02324121000C,CLARK,-87.612954,39.382654,507,Coal Test,Drillers Log,224,3.5,93.5,2.3,59.7,3.1,,,-107.5,7.3
02324122000C,CLARK,-87.559097,39.408172,555,Coal Test,Drillers Log,326,1.9,,,180,4,,,,
02324123000C,CLARK,-87.5659,39.44795,570,Coal Test,Drillers Log,339,0,223.2,3,206,2.8,,,-15,5.4
02324124000C,CLARK,-87.554426,39.444474,510,Coal Test,Drillers Log,342,0,234,2.5,,,,,,
02324125000C,CLARK,-87.566295,39.440838,566,Coal Test,Drillers Log,,,229.2,2.4,213,3.3,,,7.6,4.6
02324126000C,CLARK,-87.629236,39.469376,592,Coal Test,Drillers Log,293,5,170,2.4,155,3,,,-27,5
02324127000C,CLARK,-87.610554,39.469692,585,Coal Test,Drillers Log,318.5,5,199,2.4,182,2.3,,,4,4.6
